category,technique_name,description
exploratory,Descriptive Statistics,"데이터의 기본 특성을 요약해 전체 그림을 빠르게 파악 - 평균, 중앙값, 분산, 표준편차 등을 통해 데이터 분포와 중심 경향 이해"
exploratory,Data Profiling,"데이터 품질과 구조를 진단해 분석 가능성 평가 - 결측치, 이상치, 분포, 중복을 확인하여 데이터 신뢰도 확보"
exploratory,Univariate Analysis,"단일 변수의 특성과 분포를 집중 분석 - 히스토그램, 박스플롯 등을 통해 값의 범위와 패턴 파악"
exploratory,Bivariate Analysis,"두 변수 간 관계를 탐색해 상관 구조 이해 - 산점도, 교차표, 상관계수로 관계 강도와 방향 분석"
exploratory,Multivariate Analysis,"여러 변수 간 상호작용을 동시에 탐색 - 차원 축소 및 패턴 발견을 통해 복잡한 구조 해석"
exploratory,EDA Storytelling,"탐색적 분석 결과를 스토리로 연결 - 시각화 흐름과 인사이트 내러티브로 의사결정자 이해 증진"

statistical,Hypothesis Testing,"가설을 통계적으로 검증해 우연 여부 판단 - t-test, chi-square, ANOVA 등을 활용해 의미 있는 차이 검증"
statistical,Confidence Interval,"추정치의 불확실성을 구간으로 표현 - 평균이나 비율이 포함될 가능 범위 제시"
statistical,Correlation Analysis,"변수 간 선형 관계 강도 측정 - Pearson, Spearman 상관계수로 관계 해석"
statistical,Regression Analysis,"독립 변수와 종속 변수 간 관계 모델링 - 선형·다중 회귀로 영향력과 예측력 분석"
statistical,ANOVA,"여러 집단 평균 차이를 동시에 검정 - 집단 간 변동과 집단 내 변동 비교"
statistical,Nonparametric Tests,"분포 가정 없이 통계 검정 수행 - Mann-Whitney, Kruskal-Wallis 등으로 유연한 분석"

visualization,Histogram Analysis,"값의 분포 형태를 직관적으로 파악 - 왜도, 첨도, 이상치 단서 발견"
visualization,Box Plot Analysis,"분포 요약과 이상치 탐지에 효과적 - 사분위 기반 비교 분석"
visualization,Heatmap Exploration,"패턴과 밀도를 색상으로 표현 - 상관행렬이나 활동 집중 영역 파악"
visualization,Time Series Plotting,"시간 흐름에 따른 변화 관찰 - 추세, 계절성, 변동성 식별"
visualization,Dashboard Analysis,"핵심 지표를 한 화면에 통합 - 실시간 모니터링과 빠른 의사결정 지원"

time_series,Trend Analysis,"장기적인 방향성 식별 - 증가·감소 패턴과 구조적 변화 탐색"
time_series,Seasonality Decomposition,"추세·계절·잔차로 분해해 해석력 강화 - 반복 패턴과 비주기적 변동 구분"
time_series,Moving Average,"단기 변동을 완화해 흐름 강조 - 노이즈 제거 후 패턴 파악"
time_series,ARIMA Modeling,"자기상관 기반 시계열 예측 - 과거 패턴을 활용한 미래 값 추정"
time_series,Change Point Detection,"시계열 구조 변화 시점 탐지 - 정책 변화나 이벤트 영향 파악"

machine_learning,Clustering Analysis,"유사한 데이터 포인트 그룹화 - 고객 세분화, 패턴 군집 발견"
machine_learning,Classification Modeling,"범주형 결과 예측 - 로지스틱 회귀, 결정트리, 랜덤포레스트 활용"
machine_learning,Feature Engineering,"모델 성능 향상을 위한 변수 가공 - 스케일링, 파생 변수 생성"
machine_learning,Dimensionality Reduction,"정보 손실 최소화하며 차원 축소 - PCA, t-SNE로 구조 시각화"
machine_learning,Model Evaluation,"모델 성능 객관적 검증 - 정확도, 정밀도, 재현율, ROC-AUC 활용"
machine_learning,Cross Validation,"일반화 성능 검증 - 데이터 분할 반복으로 과적합 방지"

causal,Root Cause Analysis,"문제의 근본 원인 규명 - 상관이 아닌 인과 관점에서 해석"
causal,Causal Inference,"개입 효과를 통계적으로 추정 - 실험·준실험 설계 활용"
causal,A/B Testing,"두 가지 안의 성과 차이를 실험으로 검증 - 의사결정의 객관성 확보"
causal,Propensity Score Matching,"선택 편향 보정으로 유사 집단 비교 - 관측 데이터 기반 인과 추론"
causal,Instrumental Variable Analysis,"숨은 교란 변수 통제 - 외생 변수 활용한 인과 관계 추정"

business,Segmentation Analysis,"고객 또는 객체를 의미 있는 그룹으로 분류 - 마케팅 전략 정교화"
business,Cohort Analysis,"동일 시작점을 가진 집단의 행동 비교 - 유지율과 생애가치 분석"
business,Funnel Analysis,"단계별 이탈 지점 식별 - 전환율 개선 기회 발견"
business,Churn Analysis,"이탈 가능성 예측과 원인 파악 - 유지 전략 수립"
business,KPI Decomposition,"성과 지표를 구성 요소로 분해 - 개선 레버 명확화"

quality,Outlier Detection,"이상 데이터 식별로 왜곡 방지 - 오류 탐지 또는 의미 있는 특이점 발견"
quality,Missing Data Analysis,"결측 패턴 이해와 처리 전략 수립 - 편향 최소화"
quality,Data Validation Rules,"분석 전 데이터 무결성 확보 - 신뢰 가능한 분석 기반 마련"
quality,Bias Detection,"데이터와 모델 내 편향 식별 - 공정성과 해석 가능성 강화"
